"","symbol","HR","lower95","upper95","pValue"
"ENSG00000234456","MAGI2-AS3","1.18059398137494","0.467150781626644","2.98362371139666","0.724"
"ENSG00000167861","HID1","0.875864427141772","0.346972573496867","2.21094851100475","0.772"
"ENSG00000108244","KRT23","1.53127864465997","0.604959189917612","3.87598754869899","0.364"
"ENSG00000101079","NDRG3","0.44344415695848","0.175733985962486","1.1189794578642","0.0923"
"ENSG00000132763","MMACHC","1.07537858367637","0.426615077123802","2.71073189917806","0.877"
"ENSG00000136457","CHAD","0.875995208648327","0.347398819942307","2.2088952567607","0.772"
"ENSG00000104883","PEX11G","0.864047696496887","0.342141662483324","2.18207398772421","0.752"
"ENSG00000164039","BDH2","1.89675475492872","0.749849045129774","4.79787048301446","0.172"
"ENSG00000176092","CRYBG2","0.948577556681283","0.375280631275717","2.39767071905812","0.911"
"ENSG00000173702","MUC13","1.45512319806139","0.576077508804736","3.67551846613423","0.411"
"ENSG00000168994","PXDC1","1.37474075606206","0.545138224650489","3.46684943546161","0.497"
"ENSG00000245571","FAM111A-DT","0.560616332339788","0.219304313499878","1.43312581075288","0.205"
"ENSG00000040275","SPDL1","1.07009267803658","0.423593504376713","2.70329532383276","0.883"
"ENSG00000177679","SRRM3","0.900711555493106","0.35708933939524","2.27192810508648","0.824"
"ENSG00000164172","MOCS2","1.2619496110905","0.500930203517944","3.17911918616107","0.62"
"ENSG00000229953","AL590666.2","0.747911318862456","0.294002110852955","1.90260994813859","0.525"
"ENSG00000110060","PUS3","0.406914688509249","0.157823570030427","1.04914344348348","0.0431"
"ENSG00000224081","SLC44A3-AS1","0.623849681901491","0.245874402493129","1.58287492175794","0.313"
"ENSG00000125246","CLYBL","1.05919107063875","0.419118805688863","2.67677257353541","0.901"
"ENSG00000181513","ACBD4","0.896941973711962","0.351532846264573","2.2885625418935","0.811"
"ENSG00000205726","ITSN1","0.905312002519111","0.354233107046991","2.3137019256544","0.836"
"ENSG00000117500","TMED5","0.961204926066164","0.380070560014682","2.43090364551827","0.933"
"ENSG00000124766","SOX4","1.14829175879932","0.454812711059796","2.89915811775339","0.76"
"ENSG00000164181","ELOVL7","0.781689322847112","0.302461152583304","2.02022042247188","0.59"
